uri,id,birth_place,birth_date,language,recording_dates,subject_refs,interviewers,programs
/repositories/14/resources/9325,HVT-1527,,,eng,1989-02-08|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/26804|/subjects/24806|/subjects/26999|/subjects/36478|/subjects/41390|/subjects/32908|/subjects/32936|/subjects/39971|/subjects/40822|/subjects/23510|/subjects/22416|/subjects/22134|/subjects/22197|/subjects/32194|/subjects/27897|/subjects/25072|/subjects/24163|/subjects/24980|/subjects/32086|/subjects/31129|/subjects/30783|/subjects/34365|/subjects/35139|,/agents/people/48517|/agents/people/40471|,/agents/corporate_entities/6644|
/repositories/14/resources/7771,HVT-3849,,,heb,1996-10-24|1996-10-31|1996-11-08|1996-11-18|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/26804|/subjects/24806|/subjects/37286|/subjects/23267|/subjects/23640|/subjects/39082|/subjects/23328|/subjects/29111|/subjects/24374|/subjects/23530|/subjects/26684|/subjects/24343|/subjects/32911|/subjects/39298|/subjects/28387|/subjects/25248|/subjects/31104|/subjects/40445|/subjects/28262|/subjects/36919|/subjects/25317|/subjects/23869|/subjects/39866|/subjects/22109|/subjects/38509|/subjects/39025|/subjects/26110|/subjects/41524|/subjects/24980|/subjects/32086|/subjects/35714|/subjects/30490|/subjects/33303|/subjects/35139|/subjects/35943|,,/agents/corporate_entities/12966|/agents/corporate_entities/6680|
/repositories/14/resources/10057,HVT-1874,,,pol,1991-10-29|,/subjects/25264|/subjects/36885|/subjects/25470|/subjects/31833|/subjects/34631|/subjects/35834|/subjects/39082|/subjects/37286|/subjects/39681|/subjects/24374|/subjects/23300|/subjects/39070|/subjects/40600|/subjects/26497|/subjects/32494|/subjects/23463|/subjects/40640|/subjects/24980|/subjects/24543|/subjects/31129|/subjects/35324|/subjects/34716|/subjects/23059|/subjects/30490|/subjects/35139|/subjects/26539|,/agents/people/41233|,/agents/corporate_entities/6633|
/repositories/14/resources/8214,HVT-0766,,,eng,1986-03-02|,/subjects/25264|/subjects/36885|/subjects/25470|/subjects/31833|/subjects/34631|/subjects/26804|/subjects/37286|/subjects/38776|/subjects/39082|/subjects/38166|/subjects/26684|/subjects/36833|/subjects/32911|/subjects/28387|/subjects/40600|/subjects/40467|/subjects/24980|/subjects/32086|/subjects/30490|/subjects/33303|/subjects/35139|/subjects/35943|,/agents/people/63222|/agents/people/43301|,/agents/corporate_entities/6803|
/repositories/14/resources/7714,HVT-0336,,,eng,1984-08-23|,/subjects/25264|/subjects/36885|/subjects/25470|/subjects/31833|/subjects/34631|/subjects/26804|/subjects/39082|/subjects/24806|/subjects/37286|/subjects/41541|/subjects/24374|/subjects/41014|/subjects/23300|/subjects/28387|/subjects/33378|/subjects/40600|/subjects/26982|/subjects/27789|/subjects/31012|/subjects/33470|/subjects/24980|/subjects/32086|/subjects/24543|/subjects/23059|/subjects/36018|/subjects/30490|/subjects/34716|/subjects/35943|/subjects/35139|/subjects/26539|,/agents/people/86187|,/agents/corporate_entities/6656|
/repositories/14/resources/7736,HVT-3633,,,heb,1994-02-01|1994-03-28|1994-04-22|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/26804|/subjects/24806|/subjects/37286|/subjects/29760|/subjects/39082|/subjects/23300|/subjects/23328|/subjects/36226|/subjects/32911|/subjects/40600|/subjects/39288|/subjects/23246|/subjects/26725|/subjects/36198|/subjects/26982|/subjects/31937|/subjects/38014|/subjects/41689|/subjects/23385|/subjects/25317|/subjects/38559|/subjects/38724|/subjects/26520|/subjects/24980|/subjects/32086|/subjects/31129|/subjects/26539|/subjects/24543|/subjects/23059|/subjects/30490|/subjects/29712|/subjects/38250|/subjects/34072|/subjects/23017|/subjects/35139|,,/agents/corporate_entities/12966|/agents/corporate_entities/6680|
/repositories/14/resources/9572,HVT-2921,,,eng,1994-04-14|,/subjects/25264|/subjects/36885|/subjects/25470|/subjects/31833|/subjects/34631|/subjects/37286|/subjects/36660|/subjects/38166|/subjects/39082|/subjects/24374|/subjects/24343|/subjects/31104|/subjects/35825|/subjects/36919|/subjects/23869|/subjects/31941|/subjects/31794|/subjects/37631|/subjects/24980|/subjects/35714|/subjects/31624|/subjects/30490|/subjects/33303|/subjects/35139|,/agents/people/40646|,/agents/corporate_entities/6633|
/repositories/14/resources/9160,HVT-3799,,,heb,1995-09-14|1995-09-21|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/26804|/subjects/24806|/subjects/37286|/subjects/28635|/subjects/23328|/subjects/29297|/subjects/26684|/subjects/31037|/subjects/39082|/subjects/27302|/subjects/24343|/subjects/23300|/subjects/28291|/subjects/32811|/subjects/40600|/subjects/26451|/subjects/28965|/subjects/37645|/subjects/26982|/subjects/31012|/subjects/27724|/subjects/23385|/subjects/25467|/subjects/25317|/subjects/24980|/subjects/32086|/subjects/24543|/subjects/36018|/subjects/23059|/subjects/30490|/subjects/33303|/subjects/23017|/subjects/38250|/subjects/35139|/subjects/35324|,,/agents/corporate_entities/12966|/agents/corporate_entities/6680|
/repositories/14/resources/9070,HVT-3263,,,rus,1994-08-01|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/26804|/subjects/28584|/subjects/39298|/subjects/37513|/subjects/22131|/subjects/22554|/subjects/39474|/subjects/36693|/subjects/25435|/subjects/29540|/subjects/34778|/subjects/30811|/subjects/25932|/subjects/29708|/subjects/23343|/subjects/34577|/subjects/37070|/subjects/24980|/subjects/32086|/subjects/23059|/subjects/30490|/subjects/23017|/subjects/35139|,/agents/people/40759|,/agents/corporate_entities/12966|/agents/corporate_entities/6680|
/repositories/14/resources/7125,HVT-2022,,,eng,1992-04-10|,/subjects/25264|/subjects/36885|/subjects/25470|/subjects/31833|/subjects/34631|/subjects/26804|/subjects/40943|/subjects/37286|/subjects/41014|/subjects/38166|/subjects/39671|/subjects/22554|/subjects/30350|/subjects/23869|/subjects/24980|/subjects/32086|/subjects/31129|/subjects/23059|/subjects/37286|/subjects/30490|/subjects/36018|/subjects/35324|/subjects/35139|/subjects/35943|,/agents/people/40466|,/agents/corporate_entities/6633|
